image_path,state,fruit_type
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 4.59.36 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 4.59.44 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 4.59.57 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.00.03 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.00.12 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.00.18 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.00.26 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.00.50 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.01.08 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.01.15 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.01.22 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.01.29 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.01.34 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.01.41 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.02.24 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.02.31 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.02.38 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.02.43 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.02.48 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.03.05 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.03.10 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.03.17 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.03.26 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.03.34 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.03.40 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.03.59 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.04.05 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.04.11 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.04.16 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.04.24 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.04.31 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.04.48 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.05.06 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.05.12 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.05.18 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.05.27 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.05.34 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.05.41 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.05.48 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.06.10 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.06.19 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.06.33 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.06.40 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.06.47 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.06.54 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.07.18 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.07.26 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.07.32 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.08.37 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.08.52 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.08.58 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.09.03 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.09.10 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.09.17 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.09.25 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.09.31 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.09.47 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.09.54 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.10.03 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.10.11 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.10.21 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.10.37 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.10.43 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.10.53 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.11.08 PM.png,fresh,apple
dataset/original_dataset\fresh_apple\rotated_by_15_Screen Shot 2018-06-08 at 5.11.16 PM.png,fresh,apple
